dataset,loss,method,seed,acc,macro_f1,mae,qwk,tau,gamma,label_smoothing,run_tag,source
ADNI,DAST,ResNet50 + DAST,6,0.943,0.9179,0.0586,0.9448,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed6.log
ADNI,DAST,ResNet50 + DAST,7,0.9281,0.8959,0.0742,0.9273,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed7.log
ADNI,DAST,ResNet50 + DAST,8,0.9484,0.9268,0.0531,0.9492,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed8.log
ADNI,DAST,ResNet50 + DAST,9,0.9211,0.9014,0.0812,0.9227,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed9.log
KOA,CE,ResNet50,0,0.6927,0.6667,0.3801,0.8179,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed0.log
KOA,CE,ResNet50,1,0.6547,0.6621,0.3847,0.8382,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed1.log
KOA,CE,ResNet50,2,0.69,0.6708,0.3873,0.8142,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed2.log
KOA,CE,ResNet50,3,0.6822,0.6822,0.3716,0.8294,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed3.log
KOA,CE,ResNet50,4,0.6598999999999999,0.6676,0.405,0.8094,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed4.log
KOA,CE,ResNet50,5,0.6933,0.693,0.3637,0.8328,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed5.log
KOA,CE,ResNet50,6,0.6756,0.6573,0.4069,0.7989,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed6.log
KOA,CE,ResNet50,7,0.6501,0.6734,0.3965,0.823,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed7.log
KOA,CE,ResNet50,8,0.6670999999999999,0.6824,0.3834,0.8298,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed8.log
KOA,CE,ResNet50,9,0.6762999999999999,0.6642,0.382,0.8257,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed9.log
KOA,DAST,ResNet50 + DAST,0,0.6912999999999999,0.6717,0.3768,0.8217,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed0,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed0.log
KOA,DAST,ResNet50 + DAST,1,0.6855,0.6727,0.386,0.8201,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed1.log
KOA,DAST,ResNet50 + DAST,2,0.6709999999999999,0.6838,0.3919,0.815,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed2.log
KOA,DAST,ResNet50 + DAST,3,0.675,0.6689,0.3965,0.8095,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed3.log
KOA,DAST,ResNet50 + DAST,4,0.6769,0.6935,0.3676,0.837,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed4,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed4.log
KOA,DAST,ResNet50 + DAST,5,0.6868000000000001,0.6925,0.3637,0.8378,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed5,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed5.log
KOA,DAST,ResNet50 + DAST,6,0.6690999999999999,0.6835,0.3919,0.8212,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed6.log
KOA,DAST,ResNet50 + DAST,7,0.6598999999999999,0.6745,0.3971,0.8189,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed7.log
KOA,DAST,ResNet50 + DAST,8,0.6474,0.6794,0.3978,0.8211,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed8.log
KOA,DAST,ResNet50 + DAST,9,0.6690999999999999,0.6733,0.386,0.8235,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed9.log
