dataset,method,attention,loss,loss_name,seed,acc,macro_f1,qwk,mae,tau,gamma,label_smoothing,run_tag,source
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,1,0.9922,0.9932,0.9931,0.0078,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed1,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed1.log
KOA,ResNet50,,CE,,2,0.69,0.6708,0.8142,0.3873,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed2.log
KOA,ResNet50 + DAST,,DAST,,2,0.6709999999999999,0.6838,0.815,0.3919,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed2.log
KOA,ResNet50 + MESC VersionB,MESC,,,2,0.6756,0.6791,0.8336,0.3729,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed2.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,2,0.69,0.6891,0.8341,0.3637,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed2.log
ADNI,ResNet50,,CE,ce,2,0.9406,0.919,0.9341,0.0641,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed2.log
ADNI,ResNet50 + DAST,,DAST,dast,2,0.9305,0.9343,0.9349,0.0703,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed2.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,2,0.9843999999999999,0.9887,0.982,0.0172,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed2.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,2,0.9781,0.982,0.9746,0.0242,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed2,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed2.log
KOA,ResNet50,,CE,,3,0.6822,0.6822,0.8294,0.3716,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed3.log
KOA,ResNet50 + DAST,,DAST,,3,0.675,0.6689,0.8095,0.3965,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed3,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed3.log
