dataset,method,attention,loss,loss_name,seed,acc,macro_f1,qwk,mae,tau,gamma,label_smoothing,run_tag,source
KOA,ResNet50 + MESC VersionB,MESC,,,8,0.6776000000000001,0.6829,0.8188,0.3834,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed8.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,8,0.6645,0.6854,0.8293,0.3807,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed8.log
ADNI,ResNet50,,CE,ce,8,0.9508,0.9499,0.9418,0.0547,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed8.log
ADNI,ResNet50 + DAST,,DAST,dast,8,0.9484,0.9268,0.9492,0.0531,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed8.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,8,0.9906,0.9923,0.9917,0.0094,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed8.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,8,0.9804999999999999,0.9857,0.9826,0.0195,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed8.log
KOA,ResNet50,,CE,,9,0.6762999999999999,0.6642,0.8257,0.382,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed9.log
KOA,ResNet50 + DAST,,DAST,,9,0.6690999999999999,0.6733,0.8235,0.386,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed9.log
KOA,ResNet50 + MESC VersionB,MESC,,,9,0.6861,0.6864,0.8395,0.3657,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed9.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,9,0.6881,0.7031,0.8421,0.3598,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed9.log
ADNI,ResNet50,,CE,ce,9,0.9406,0.9475,0.9267,0.0672,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed9.log
ADNI,ResNet50 + DAST,,DAST,dast,9,0.9211,0.9014,0.9227,0.0812,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed9.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,9,0.9867,0.9795,0.9863,0.0141,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed9.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,9,0.9906,0.9924,0.9896,0.0102,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed9,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed9.log
