dataset,loss,n,acc_mean,acc_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,qwk_mean,qwk_std
ADNI,CE,10,0.94156,0.005616681503442326,0.93629,0.014173092660233179,0.06453,0.006180983380948016,0.93198,0.007358260664042828
ADNI,DAST,10,0.93148,0.008459550815498405,0.91354,0.019228867187989353,0.07069,0.008960338535271235,0.93204,0.009508382266891323
KOA,CE,10,0.67419,0.01578687570244489,0.67197,0.010949282066773952,0.38612,0.013636209965464092,0.82193,0.011922625549768785
KOA,DAST,10,0.6732,0.01317312078101129,0.67938,0.008706549259034833,0.38553000000000004,0.012295441793156068,0.82258,0.008778357224193801
