dataset,method,n,acc_mean,acc_std,macro_f1_mean,macro_f1_std,qwk_mean,qwk_std,mae_mean,mae_std
ADNI,ResNet50,10,0.94156,0.005616681503442326,0.93629,0.014173092660233179,0.93198,0.007358260664042828,0.06453,0.006180983380948016
ADNI,ResNet50 + DAST,10,0.93148,0.008459550815498405,0.91354,0.019228867187989353,0.93204,0.009508382266891323,0.07069,0.008960338535271235
ADNI,ResNet50 + MESC VersionB,10,0.98601,0.003125682147770116,0.98527,0.0077120468532463045,0.98495,0.004273497136746194,0.01501,0.0036290341537231208
ADNI,ResNet50 + MESC VersionB + DAST,10,0.98352,0.006412279885760852,0.98695,0.005106477368118947,0.98227,0.008353848082038465,0.01764,0.007315007404872079
KOA,ResNet50,10,0.67419,0.01578687570244489,0.67197,0.010949282066773952,0.82193,0.011922625549768785,0.38612,0.013636209965464092
KOA,ResNet50 + DAST,10,0.6732,0.01317312078101129,0.67938,0.008706549259034833,0.82258,0.008778357224193801,0.38553000000000004,0.012295441793156068
KOA,ResNet50 + MESC VersionB,10,0.68276,0.008883968082388019,0.67971,0.017708720387926903,0.83287,0.007860173874243093,0.36953,0.012811631000340626
KOA,ResNet50 + MESC VersionB + DAST,10,0.68106,0.01143719079727766,0.68944,0.0063709758540849365,0.83941,0.00616485558990998,0.36297,0.008318927548401626
