dataset,attention_module,n,acc_mean,acc_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,qwk_mean,qwk_std
ADNI,MESC,10,0.98601,0.003125682147770116,0.98527,0.0077120468532463045,0.01501,0.0036290341537231208,0.98495,0.004273497136746194
KOA,MESC,10,0.68276,0.008883968082388019,0.67971,0.017708720387926903,0.36953,0.012811631000340626,0.83287,0.007860173874243093
